course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,rubric,time_taken_s,status
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""Kannaki is deified, made into a deity at the cost of total erasure of her human identity. She is no longer referred to by her name. She has become the Pattini goddess."" — Explain the significance of Kannaki's deification in the context of her human identity as presented in the text.","The student should explain that deification serves as a means of removing Kannaki from the human sphere, resulting in the loss of her name and individual identity to fit into a patriarchal framework.","[Marks]
Understanding of deification vs. human identity - 4 marks
Analysis of the erasure of the name/identity - 4 marks
Clarity of expression and conceptual flow - 2 marks

[Key Points]
1. Deification as the Pattini goddess
2. Erasure of human identity
3. Loss of her personal name
4. The role of the patriarchal domain in this transformation",535.1,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""The transformation of Kannaki from a human to a divine being is wonderfully displayed through the use of Akam and Puram poetry. While Book I has mostly Akam poetry allocated to her, Book II sees the use of Puram for her."" — Discuss how the shift from Akam to Puram poetry reflects the transformation of Kannaki's character across the books.","The student must identify that Akam poetry represents the private/interior sphere and Puram poetry represents the public/exterior sphere, and link this shift to Kannaki's movement from a human wife to a divine challenger.","[Marks]
Explanation of Akam poetry's role in Book I - 3 marks
Explanation of Puram poetry's role in Book II - 3 marks
Synthesis of how this reflects her transformation to a divine being - 4 marks

[Key Points]
1. Akam poetry = private/interior
2. Puram poetry = public/exterior
3. Transition correlates with her entry into the Maturai court
4. Symbolizes the journey from human to divine",535.1,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Explain how the detailed description of Poompuhar's street layout reflects the social and occupational organization of the society depicted in the epic.,"The student should explain the link between the physical layout of the city and its social/professional hierarchy, mentioning specific professional streets and residential zones.","[Marks]
Analysis of occupational segregation (mentioning specific professional streets) - 4 marks
Analysis of social hierarchy (mentioning princes, gentry, and merchant mansions) - 4 marks
Overall coherence and conceptual clarity - 2 marks

[Key Points]
1. Occupational streets (e.g., physicians, astronomers, bards)
2. Social stratification (princes, landed gentry, merchant princes)
3. The concept of a structured urban society",183.4,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Discuss the significance of Puhar as a port city in terms of its economic vibrancy and trade relations as presented in the text.,"The student must discuss Puhar's role as a trade hub, citing the variety of goods and the international nature of its commerce.","[Marks]
Identification of Puhar as a global trade hub/emporium - 3 marks
Mention of specific luxury and essential trade commodities - 4 marks
Discussion on the diversity of merchants and the 'land of plenty' concept - 3 marks

[Key Points]
1. International trade and traders from distant lands
2. Range of commodities (silks, gold, pearls, grains)
3. Economic vibrancy and the role of mercantile guilds",183.4,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,Discuss the differences between the portrayal of Shakuntala in the original epic and the version presented in Kalidasa's play.,"The student must contrast the assertive nature of the epic Shakuntala with the pious/virtuous nature of the play's Shakuntala, mentioning the role of the Law and the heavenly voice in the epic versus the rejection and dignity in the play.","[Marks]
Explanation of Shakuntala's character and actions in the epic (assertiveness, use of Law, heavenly voice) - 4 marks
Explanation of Shakuntala's character in the play (piousness, rejection, dignity, and the concept of pativrata stri) - 4 marks
Clarity of comparison and conceptual understanding - 2 marks

[Key Points]
1. Epic Shakuntala: Assertive, quotes Law, validated by heavenly voice.
2. Play Shakuntala: Pious, rejected by Duhsanta, suffers with dignity.
3. Concept of pativrata stri in the play.",212.0,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Explain the significance of the curse of Durvasa and the ring in the progression of the plot in Abhijnana Shakuntala.,"The student should explain the cause of the curse, the function of the ring as a token of recognition to break the curse, and how these elements enhance the emotional depth (rasa) and conflict of the play.","[Marks]
Correct explanation of the cause and nature of Durvasa's curse - 3 marks
Explanation of the ring's role as a token of recognition to lift the curse - 4 marks
Discussion on how these elements enhance the rasa of love and create narrative conflict - 3 marks

[Key Points]
1. Cause: Shakuntala's distraction/neglect of Durvasa.
2. Function: Ring as a token to lift the memory loss.
3. Impact: Addition of complexity and enhancement of the rasa of love/kama.",212.0,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 2,on,Short Answer,ollama-gemma4-31b,en,1,"Based on the passage: ""born from me shall be Young King to succeed you, great King, declare this to me as the truth! If it is to be thus, Duhsanta, you may lie with me"" — Explain the significance of the condition Shakuntala imposes on King Duhsanta before consenting to the Gandharva marriage.","The student should explain that the condition is about the legal and royal succession of the future son, moving beyond the act of marriage to the security of the heir.","[Marks]
Correct identification of the condition regarding the son's succession - 4 marks
Explanation of the significance regarding legitimacy and royal status - 4 marks
Clarity and use of academic language - 2 marks

[Key Points]
1. The son must be the 'Young King' to succeed Duhsanta
2. The condition is a prerequisite for the marriage
3. Focus on the legitimacy of the heir",235.8,success
BEGC 101_ Indian Classical Literature,BLOCK KALIDASA ABHIJNANA SHAKUNTALA,Level 2,on,Short Answer,ollama-gemma4-31b,en,2,"Based on the passage: ""a son is a putra because he saves his father from the hell named Put and calls herself the dutiful wife, stating that she is a wife who is handy in the house, she is a wife who bears children, she is a wife whose life is her husband"" — Discuss the arguments Shakuntala employs to plead her case when she is rejected by King Duhsanta at the palace.",The student must discuss both the spiritual argument regarding the son and the social argument regarding the duties of a wife.,"[Marks]
Explanation of the spiritual role of the putra in saving the father - 4 marks
Analysis of the attributes of the 'dutiful wife' (domesticity and devotion) - 4 marks
Ability to connect these arguments to her plea for recognition - 2 marks

[Key Points]
1. The spiritual function of a putra (saving from Put)
2. The definition of a dutiful wife: handy in the house and child-bearing
3. The concept of the wife's life being centered on the husband",235.8,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 2,off,Short Answer,ollama-gemma4-31b,en,1,"Discuss how the socio-economic structure of the city of Ujjayini, as depicted in the play, highlights the disparity between different social classes.","The student should explain the hierarchical nature of society and the economic dependence of the rich on the poor, using Charudatta as an example of economic instability.","[Marks]
Identification of the social hierarchy (King, officials, merchants) - 3 marks
Explanation of the role of the poor/servants in supporting the privileged class - 3 marks
Reference to Charudatta's poverty as a symbol of social/economic decline - 4 marks

[Key Points]
1. Hierarchical structure (King at the top)
2. Vibrant trade/money economy vs. poverty
3. Dependence of luxury on poor service providers
4. Charudatta's fall from prosperity",196.7,success
BEGC 101_ Indian Classical Literature,BLOCK SUDRAKA MRICHCHHAKATIKA,Level 2,off,Short Answer,ollama-gemma4-31b,en,2,Explain the significance of Sudraka's decision to present serious thematic concerns through the perspective of realistic art resting on comic entertainment.,The student must explain how the blend of comedy and realism makes serious themes accessible and leads to a hopeful conclusion.,"[Marks]
Identification of the blend between serious themes and comic entertainment - 3 marks
Explanation of how this approach broadens the play's reach and accessibility - 4 marks
Mention of the resulting sense of hopefulness and strength of the play - 3 marks

[Key Points]
1. Combination of realism and comedy
2. Broadening the reach/audience appeal
3. Making serious issues (poverty/suffering) relatable
4. Emergence of hopefulness",196.7,success
