course,block,bloom_level,citation_mode,question_type,model_id,language,question_number,question,answer,citation,rubric_answer,rubric_marks,rubric_key_points,generation_time_ms,similarity_score,source_title,source_path,type_match,status
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 1,off,Short Answer,ollama-gemma4-e4b,en,1,Name the two ancient cities that are described as the setting for the epics *Cilappatikaran* and *Manimekalai*.,The two cities mentioned are Puhar (also known as Kaveri Poompattinam/Poompuhar) and Maturai. These cities are depicted as flourishing ports that were central to the early Chola economy and trade.,,,,,17325.91,0.3358296751976013,"2.5 DESTRUCTION, RESURRUCTION AND THE",C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 101_ Indian Classical Literature\BLOCK CILAPPATIKARAN\Unit-BEGC_101_5a4e8288_UNIT_2,True,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 1,off,Short Answer,ollama-gemma4-e4b,en,2,List three distinct types of commodities or goods that were widely traded in the bustling port city of Poompuhar.,"Three commodities traded include silks, gems, and gold, among many others. The text highlights that the city was a center for the exchange of goods like grains, pearls, sandalwood, and various spices.",,,,,17325.91,0.3358296751976013,"2.5 DESTRUCTION, RESURRUCTION AND THE",C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 101_ Indian Classical Literature\BLOCK CILAPPATIKARAN\Unit-BEGC_101_5a4e8288_UNIT_2,True,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 1,on,Short Answer,ollama-gemma4-e4b,en,1,"According to the passage, what primary philosophical advice does Matalan give to the king concerning the transient nature of life and human existence?","Matalan advises the king that realizing the fleeting nature of youth and life is unnecessary wisdom. He emphasizes that souls are cyclical, often moving from divine bodies to human bodies, and sometimes even being reborn into animal forms, highlighting the inevitability of change.",,,,,30096.4,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 101_ Indian Classical Literature\BLOCK CILAPPATIKARAN\Unit-BEGC_101_5a4e8288_UNIT_3,True,success
BEGC 101_ Indian Classical Literature,BLOCK CILAPPATIKARAN,Level 1,on,Short Answer,ollama-gemma4-e4b,en,2,"What are the two main poetic domains referenced in the source material, and how does the text suggest that the Puram domain utilizes the concept of death?","The text references the Akam and Puram domains as the two main poetic domains. The Puram domain utilizes the concept of death to underscore philosophical precepts, such as the Jaina ideals of renunciation and the transience of life, often through historical or epic narratives.",,,,,30096.4,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 101_ Indian Classical Literature\BLOCK CILAPPATIKARAN\Unit-BEGC_101_5a4e8288_UNIT_3,True,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 1,off,Short Answer,ollama-gemma4-e4b,en,1,"At the beginning of the play, what devastating physical crisis afflicted Thebes, prompting Oedipus to seek divine guidance?","The city of Thebes was plagued by a deadly pestilence or plague. This catastrophic event was seen by the ancient Greeks as a ""visitation of the Gods,"" leading Oedipus to promise his citizens that he would find the source of the curse and punish the murderer.",,,,,43443.46,0.5850290060043335,UNIT 2 OEDIPUS REX: SUMMARY AND ANALYSIS,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 102_ European Classical Literature\BLOCK SOPHOCLES OEDIPUS REX\Unit-BEGC_102_a69a8691_UNIT_2,True,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 1,off,Short Answer,ollama-gemma4-e4b,en,2,"In the context of classical drama structure, what structural principle, besides the Unity of Time, is highlighted as essential for a concise and elegant play, such as *Oedipus Rex*?","The structural principle is the Unity of Action. This concept emphasizes that good playwriting lies in being concise in content and precise in expression, meaning the plot should move through the story efficiently without unnecessary digressions.",,,,,43443.46,0.5850290060043335,UNIT 2 OEDIPUS REX: SUMMARY AND ANALYSIS,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 102_ European Classical Literature\BLOCK SOPHOCLES OEDIPUS REX\Unit-BEGC_102_a69a8691_UNIT_2,True,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,off,Short Answer,ollama-gemma4-e4b,en,1,"Explain the significance of the Delphic Oracle's prophecy (e.g., the prophecy concerning Laius's murder) in shaping the plot of *Oedipus Rex*. How does the action taken by the characters demonstrate their attempt to circumvent its predicted outcome?","The Delphic Oracle's prophecy acts as the central catalyst for the entire plot, creating an inescapable tension that drives the characters' actions. Oedipus's initial efforts to solve the murder of Laius are a direct response to this prophecy, giving the play its structure and urgency. The characters' attempts to circumvent the prophecy (such as Laius and Jocasta having Oedipus abandoned) highlight the human struggle against fate. However, the source material demonstrates that human efforts, no matter how resolved, ultimately fail to change the predetermined destiny, leading to the colossal tragedy.",,"The prophecy is the central catalyst, creating inevitable tension. The characters try to escape it through action (abandonment, investigation), but fail because destiny is inescapable.","[{""criterion"": ""Identifying the Oracle's role as the central catalyst and source of tension."", ""marks"": 3}, {""criterion"": ""Explaining how Oedipus's investigative actions are a direct response to the prophecy."", ""marks"": 3}, {""criterion"": ""Analyzing the failure of human efforts (like the abandonment) to change the inevitable outcome (fate)."", ""marks"": 4}]","[""The prophecy serves as the main plot trigger, establishing the central conflict."", ""The characters' actions (investigation, abandonment) are reactions to the prophecy."", ""The play shows the conflict between human will and inescapable fate/destiny."", ""Human attempts to avoid the prophecy ultimately fail, leading to the tragic conclusion.""]",38517.25,0.5850290060043335,UNIT 2 OEDIPUS REX: SUMMARY AND ANALYSIS,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 102_ European Classical Literature\BLOCK SOPHOCLES OEDIPUS REX\Unit-BEGC_102_a69a8691_UNIT_2,True,success
BEGC 102_ European Classical Literature,BLOCK SOPHOCLES OEDIPUS REX,Level 2,off,Short Answer,ollama-gemma4-e4b,en,2,"Discuss the character of Oedipus's 'overweening pride' (or arrogance) as presented in the text. How does this trait contribute to his downfall, and what is the tragic irony associated with his self-belief?","Oedipus’s overweening pride is characterized by his profound confidence in his own wisdom and ability to solve any mystery, leading him to believe he is infallible. He repeatedly confronts Tiresias and Creon, taunting them for their perceived blindness or falsehoods, which stems from a narcissistic belief in his own greatness. This arrogance blinds him to the truth, causing him to dismiss Tiresias’s warnings and aggressively accuse others. The tragic irony lies in the fact that Oedipus, the man who possesses physical sight and intellectual brilliance, is incapable of seeing the truth about his own identity and actions. His extreme belief in his personal probity becomes his 'blind spot,' ensuring his downfall.",,"Pride makes him confident in his own judgment, leading him to dismiss warnings and accuse others. The irony is that the sighted man cannot see the truth about himself, confirming his fall.","[{""criterion"": ""Identifying the manifestation of Oedipus's pride (e.g., taunting Tiresias, dismissing warnings)."", ""marks"": 3}, {""criterion"": ""Explaining how this pride directly leads to his poor decisions and subsequent downfall."", ""marks"": 3}, {""criterion"": ""Analyzing the tragic irony: the contradiction between his physical sight/intellect and his inability to see the underlying truth."", ""marks"": 4}]","[""Oedipus exhibits overweening pride (narcissistic arrogance) in his own judgment and ability."", ""This pride makes him dismiss the warnings of others (Tiresias, Creon)."", ""His self-belief in his own flawless nature leads him to ignore evidence and escalate the crisis."", ""The tragic irony is that the man with physical sight is unable to see the truth regarding his parentage and actions.""]",38517.25,0.5850290060043335,UNIT 2 OEDIPUS REX: SUMMARY AND ANALYSIS,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 102_ European Classical Literature\BLOCK SOPHOCLES OEDIPUS REX\Unit-BEGC_102_a69a8691_UNIT_2,True,success
BEGC 103_ Indian Writing in English,BLOCK POETRY,Level 2,on,Short Answer,ollama-gemma4-e4b,en,1,"Based on the poem, discuss how the initial enthusiasm and purpose of the journey eventually wore off, leading to a sense of disillusionment among the group.","The initial purpose of the journey was described as a 'pilgrimage' meant for 'exalting minds' and 'making all the burdens light.' However, the poem details a gradual decline due to hardships (like the sun beating down) and internal conflicts. The disillusionment becomes evident when the group loses track of its original goal, suffering from lack of resources ('Deprived of common needs like soap'), and eventually realizing that 'we hardly knew why we were there.' The experience ultimately shifts from spiritual elevation to mere survival and confusion, suggesting that the journey failed to achieve its intended transcendental purpose.","It started as a pilgrimage, Exalting minds and making all The burdens light.","The initial purpose was spiritual/intellectual (pilgrimage, exalting minds). The decline was marked by physical exhaustion, internal conflict (losing friends, sections leaving), and eventual confusion, culminating in the realization that they 'hardly knew why we were there,' thus showing a loss of original purpose and hope.","[{""criterion"": ""Identifying the initial positive purpose (pilgrimage/spiritual growth)."", ""marks"": 3}]","[""Initial phase: Positive purpose (pilgrimage, intellectual/spiritual goals)."", ""Mid-phase decline: Physical hardships (sun beating down), internal conflict (losing friends, straggling crowd)."", ""Final realization: Loss of purpose; confusion about their destination/goal ('hardly knew why we were there').""]",34968.64,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 103_ Indian Writing in English\BLOCK POETRY\Unit-BEGC_103_e2ce5aa6_UNIT_2,True,success
BEGC 103_ Indian Writing in English,BLOCK POETRY,Level 2,on,Short Answer,ollama-gemma4-e4b,en,2,Examine the change in the group's morale and physical state as the journey progresses. How does the poem use imagery to convey the shift from 'rage' to 'little hope'?,"Initially, the group displayed high energy and determination, symbolized by the line 'The Sun beat down to match our rage.' This suggests a forceful, almost aggressive commitment to the journey. As the poem progresses, the morale degrades significantly. The physical and emotional decline is represented by the description of the crowd as 'a straggling crowd of little hope,' who are 'Ignoring what the thunder meant.' The final state is described by those who were 'broken, some merely bent,' indicating not just exhaustion, but a fundamental weakening of will and spirit, far removed from their initial 'rage.'",The Sun beat down to match our rage.,"The poem contrasts the initial high energy/determination ('rage') with the later weakness. Imagery of physical decline (straggling crowd, broken/bent) and loss of hope (little hope, ignoring thunder) illustrates the shift. The group moves from forceful engagement to passive suffering and resignation.","[{""criterion"": ""Identifying the initial state (high energy, 'rage')."", ""marks"": 3}]","[""Initial state: High energy, determination, strength ('rage')."", ""Transition: Loss of control, deviation from the path, loss of resources/support."", ""Final state: Weakness, resignation, despair (straggling crowd, broken/bent, little hope).""]",34968.64,,,C:\Users\alemr\OneDrive\Dokumenty\Python Scripts\edu_rag\rag_store_books\BEGC 103_ Indian Writing in English\BLOCK POETRY\Unit-BEGC_103_e2ce5aa6_UNIT_2,True,success
